WS_[m/s]	RotSpeed_[rpm]	Pitch_[deg]	AeroThurst_[kN]	AeroTorque_[kNm]	AeroPower_[kW]	AeroCP_[-]	AeroCT_[-]	AeroCQ_[-]	AeroFlap_[kNm]	AeroEdge_[kNm]
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
8.0	7.863999999999999	0.0	1088.1045251371925	6328.791403317135	5211.861957579831	0.4969467092817997	0.8299989025383248	0.046789575387193305	23567.15898700154	138015.0523181761
